months_as_customer,age,policy_bind_date,policy_state,policy_csl,policy_deductable,policy_annual_premium,umbrella_limit,insured_sex,insured_education_level,insured_occupation,insured_hobbies,insured_relationship,incident_date,incident_type,collision_type,incident_severity,authorities_contacted,incident_state,incident_city,incident_location,incident_hour_of_the_day,number_of_vehicles_involved,property_damage,bodily_injuries,witnesses,police_report_available,total_claim_amount,injury_claim,property_claim,vehicle_claim,auto_make,auto_model,auto_year,fraud_reported,total_claims,days_as_customer,high_risk
389,53,3/21/98,IL,500/1000,2000,791.47,0,MALE,Masters,armed-forces,chess,unmarried,1/1/15,Vehicle Theft,?,1,Police,NC,Riverwood,1617 Rock Drive,6,1,NO,1,2,NO,6300,630,1260,4410,Mercedes,C300,2001,Y,6300,6130,0
317,46,7/22/99,IN,250/500,1000,1012.78,0,MALE,MD,sales,yachting,other-relative,1/26/15,Single Vehicle Collision,Front Collision,2,Fire,WV,Arlington,7877 3rd Ridge,18,1,NO,2,1,NO,88400.65,19020,19020,66570,Mercedes,ML350,1999,Y,104610,5667,1
264,44,2/28/10,IL,100/300,500,1047.06,6000000,MALE,College,exec-managerial,sleeping,wife,2/13/15,Multi-vehicle Collision,Rear Collision,2,Fire,SC,Springfield,9325 Lincoln Drive,20,3,NO,0,2,NO,69850,12700,6350,50800,Ford,Fusion,1999,N,69850,1811,1
20,21,1/30/05,OH,250/500,1000,1390.29,0,FEMALE,Masters,priv-house-serv,polo,other-relative,1/14/15,Single Vehicle Collision,Rear Collision,1,Fire,PA,Northbrook,5855 Apache St,14,1,NO,0,0,?,62900,12580,6290,44030,Accura,MDX,2006,N,62900,3636,1
116,30,11/29/01,IN,500/1000,500,951.46,0,MALE,JD,handlers-cleaners,golf,not-in-family,1/31/15,Multi-vehicle Collision,Front Collision,2,Other,WV,Riverwood,1328 Texas Lane,8,3,NO,0,3,?,59670,6630,6630,46410,Volkswagen,Passat,2004,Y,59670,4811,1
222,40,12/24/12,IL,100/300,1000,1226.78,0,MALE,JD,armed-forces,camping,unmarried,1/22/15,Multi-vehicle Collision,Rear Collision,1,Other,NY,Springfield,4567 Pine Ave,17,2,YES,2,0,?,81500,16300,8150,57050,BMW,3 Series,2013,N,81500,759,1
439,56,5/11/97,OH,100/300,500,1280.9,0,MALE,High School,armed-forces,video-games,own-child,1/30/15,Single Vehicle Collision,Rear Collision,1,Ambulance,NC,Springfield,7575 Pine St,9,1,NO,2,0,?,50000,15000,5000,30000,Jeep,Wrangler,2009,N,50000,6473,0
66,28,1/26/94,IN,100/300,2000,1472.77,0,MALE,Associate,adm-clerical,exercise,husband,2/17/15,Single Vehicle Collision,Front Collision,3,Other,NY,Springfield,2850 Washington St,0,1,?,2,1,?,48290,8780,8780,30730,Nissan,Maxima,1995,N,48290,7692,0
128,29,11/4/10,OH,500/1000,1000,1878.44,0,MALE,High School,other-service,golf,husband,2/20/15,Single Vehicle Collision,Rear Collision,3,Fire,VA,Riverwood,9169 Cherokee Hwy,2,1,NO,0,0,?,59070,5370,5370,48330,Chevrolet,Malibu,2003,N,59070,1569,1
69,24,6/19/92,IN,500/1000,500,1418.5,0,FEMALE,High School,armed-forces,yachting,other-relative,2/4/15,Multi-vehicle Collision,Rear Collision,1,Police,NY,Springfield,6443 Washington Ridge,23,3,?,0,0,NO,63300,12660,6330,44310,Dodge,RAM,2012,N,63300,8265,1
294,46,6/2/10,IL,100/300,500,1532.8,0,MALE,College,prof-specialty,exercise,own-child,2/23/15,Single Vehicle Collision,Side Collision,3,Other,SC,Northbend,6751 5th Hwy,8,1,NO,0,3,YES,65780,11960,11960,41860,Mercedes,ML350,2013,N,65780,1727,1
19,29,10/12/02,OH,250/500,500,1304.35,0,MALE,JD,transport-moving,cross-fit,not-in-family,2/8/15,Multi-vehicle Collision,Front Collision,3,Ambulance,NY,Columbus,2289 Weaver Ridge,6,3,NO,0,2,?,75400,11600,11600,52200,Dodge,Neon,2005,Y,75400,4502,1
191,33,2/25/08,OH,500/1000,2000,1551.61,0,MALE,High School,armed-forces,movies,unmarried,2/21/15,Vehicle Theft,?,1,Unknown,WV,Arlington,8306 1st Drive,3,1,YES,1,1,NO,2250,250,250,1750,Toyota,Corolla,2005,N,2250,2553,0
4,39,9/5/96,IL,100/300,1000,1326.98,6000000,FEMALE,High School,machine-op-inspct,reading,unmarried,1/13/15,Multi-vehicle Collision,Front Collision,1,Ambulance,VA,Northbend,2603 Andromedia Hwy,14,3,YES,1,3,?,54120,4510,9020,40590,Jeep,Grand Cherokee,2007,N,54120,6704,0
298,49,3/16/98,OH,250/500,500,862.92,0,MALE,MD,machine-op-inspct,camping,wife,1/17/15,Multi-vehicle Collision,Side Collision,2,Other,NY,Northbrook,6479 Francis Ave,16,3,NO,0,2,NO,69480,11580,11580,46320,Saab,95,2007,N,69480,6151,1
231,43,4/22/10,IN,100/300,2000,1331.69,0,FEMALE,Masters,adm-clerical,reading,not-in-family,2/18/15,Single Vehicle Collision,Rear Collision,1,Police,NY,Northbend,6428 Andromedia Lane,12,1,?,1,2,NO,66950,10300,10300,46350,Chevrolet,Malibu,2015,N,66950,1763,1
338,47,1/25/08,OH,250/500,2000,1486.04,0,FEMALE,Associate,armed-forces,board-games,own-child,1/14/15,Multi-vehicle Collision,Rear Collision,2,Other,OH,Northbrook,9081 Cherokee Hwy,1,3,NO,2,3,?,64100,12820,6410,44870,Dodge,RAM,2014,Y,64100,2546,1
261,46,9/10/00,IN,100/300,1000,870.55,0,MALE,PhD,prof-specialty,camping,unmarried,1/27/15,Single Vehicle Collision,Rear Collision,1,Other,SC,Springfield,1532 Washington St,19,1,?,0,3,?,80280,13380,13380,53520,Chevrolet,Tahoe,2013,N,80280,5252,1
321,44,4/23/08,IL,500/1000,2000,1344.56,6000000,MALE,Associate,machine-op-inspct,hiking,husband,2/12/15,Vehicle Theft,?,0,Police,NY,Northbend,4625 MLK Drive,7,1,?,1,2,NO,4680,520,0,4160,Accura,MDX,1999,N,4680,2486,0
0,32,2/18/11,OH,500/1000,1000,1377.04,0,MALE,College,tech-support,base-jumping,wife,1/17/15,Multi-vehicle Collision,Rear Collision,1,Ambulance,NY,Springfield,1529 Elm Ridge,6,4,?,1,1,NO,39720,6620,6620,26480,Accura,MDX,2002,N,39720,1429,0
405,58,4/24/12,IL,250/500,500,1237.88,0,MALE,MD,exec-managerial,exercise,not-in-family,1/13/15,Single Vehicle Collision,Front Collision,2,Police,NY,Arlington,2086 Francis Drive,11,1,?,0,0,?,63580,5780,5780,52020,Mercedes,ML350,1997,Y,63580,994,1
304,49,9/25/01,IN,100/300,1000,1525.86,0,FEMALE,PhD,craft-repair,camping,own-child,1/21/15,Single Vehicle Collision,Side Collision,1,Other,NC,Northbend,9066 Best Ridge,2,1,YES,1,1,YES,73370,13340,6670,53360,Saab,95,2013,N,73370,4866,1
1,29,5/24/06,OH,500/1000,500,854.58,0,FEMALE,JD,craft-repair,paintball,other-relative,1/1/15,Single Vehicle Collision,Side Collision,1,Police,SC,Northbrook,7178 Best Drive,15,1,?,2,3,YES,86790,7890,23670,55230,Honda,CRV,2003,N,86790,3144,1
26,39,1/30/92,IN,250/500,1000,770.76,0,MALE,Masters,tech-support,sleeping,husband,2/18/15,Single Vehicle Collision,Side Collision,2,Police,WV,Columbus,9821 Francis Ave,0,1,NO,0,2,?,49800,9960,4980,34860,Mercedes,ML350,2015,N,49800,8420,0
202,38,1/24/09,IL,100/300,2000,1132.74,0,FEMALE,Associate,armed-forces,exercise,husband,2/4/15,Single Vehicle Collision,Side Collision,2,Other,WV,Hillsdale,7061 Cherokee Drive,12,1,YES,1,1,NO,77440,7040,14080,56320,Nissan,Ultima,2005,N,77440,2202,1
289,48,8/29/95,IL,500/1000,500,1173.37,8000000,FEMALE,PhD,handlers-cleaners,board-games,own-child,1/9/15,Single Vehicle Collision,Front Collision,3,Other,SC,Springfield,1325 1st Lane,1,1,?,1,0,?,42900,8580,0,34320,Accura,TL,1999,N,42900,7073,0
61,26,7/31/11,OH,100/300,2000,1188.28,6000000,FEMALE,JD,farming-fishing,skydiving,wife,2/14/15,Multi-vehicle Collision,Rear Collision,2,Fire,VA,Hillsdale,3769 Sky St,16,2,YES,1,0,NO,53820,11960,5980,35880,Ford,F150,2015,Y,53820,1294,0
334,46,1/5/13,IL,100/300,1000,876.88,6000000,MALE,MD,sales,reading,other-relative,1/3/15,Single Vehicle Collision,Rear Collision,1,Police,WV,Hillsdale,8489 Pine Hwy,2,1,NO,2,1,NO,57330,12740,6370,38220,Jeep,Grand Cherokee,1998,N,57330,728,0
12,24,11/18/94,IL,500/1000,1000,1143.95,0,FEMALE,PhD,tech-support,paintball,other-relative,2/4/15,Multi-vehicle Collision,Rear Collision,1,Police,NY,Riverwood,6329 Apache Ave,13,3,NO,2,1,?,53370,5930,5930,41510,Nissan,Ultima,2011,N,53370,7383,0
86,29,8/30/14,IL,100/300,2000,1409.06,0,MALE,High School,prof-specialty,yachting,husband,1/30/15,Single Vehicle Collision,Front Collision,1,Police,NY,Northbrook,9293 Pine Lane,0,1,NO,2,2,YES,62920,9680,14520,38720,Accura,MDX,2005,N,62920,153,1
83,24,1/1/06,IN,500/1000,1000,1070.63,0,FEMALE,High School,machine-op-inspct,board-games,unmarried,2/20/15,Multi-vehicle Collision,Front Collision,3,Fire,NY,Arlington,9224 Sky Drive,0,3,?,0,1,NO,61600,6160,12320,43120,Honda,CRV,2003,N,61600,3337,1
126,30,9/10/98,IL,500/1000,2000,916.13,0,MALE,College,sales,golf,unmarried,1/7/15,Multi-vehicle Collision,Rear Collision,3,Police,NY,Northbend,8862 Maple Ridge,16,3,YES,2,0,NO,74160,6180,12360,55620,Mercedes,E400,2002,N,74160,5963,1
209,38,1/28/10,OH,250/500,500,1191.5,0,MALE,High School,priv-house-serv,reading,husband,1/31/15,Single Vehicle Collision,Rear Collision,3,Police,WV,Arlington,3492 Flute Lane,8,1,NO,2,0,?,80100,8900,8900,62300,Audi,A3,2015,N,80100,1829,1
283,48,1/4/03,OH,500/1000,1000,1474.66,0,FEMALE,JD,sales,paintball,husband,2/17/15,Parked Car,?,0,Police,NY,Hillsdale,6484 Tree Drive,9,1,?,2,3,NO,6560,820,820,4920,Volkswagen,Jetta,2003,N,6560,4427,0
194,34,5/24/04,IL,250/500,1000,1193.45,0,MALE,JD,other-service,hiking,not-in-family,1/24/15,Single Vehicle Collision,Rear Collision,3,Ambulance,WV,Northbend,4554 Sky Ave,11,1,?,2,1,YES,58800,11760,5880,41160,Nissan,Pathfinder,1997,N,58800,3897,1
184,38,9/12/94,IL,250/500,1000,1437.53,0,FEMALE,College,transport-moving,chess,not-in-family,2/2/15,Multi-vehicle Collision,Side Collision,1,Ambulance,PA,Northbrook,5201 Texas Hwy,6,3,?,0,2,NO,53730,11940,5970,35820,Dodge,RAM,2013,Y,53730,7448,0
479,60,7/7/97,IL,100/300,2000,1304.83,0,FEMALE,College,other-service,cross-fit,husband,1/9/15,Single Vehicle Collision,Rear Collision,3,Ambulance,NY,Arlington,3982 Weaver Lane,18,1,NO,0,0,NO,60600,5050,10100,45450,Honda,Civic,2001,N,60600,6395,1
284,48,3/1/91,OH,250/500,1000,1168.8,0,FEMALE,JD,tech-support,movies,other-relative,2/28/15,Single Vehicle Collision,Side Collision,3,Other,NY,Northbrook,3660 Andromedia Hwy,11,1,?,0,3,YES,35750,6500,3250,26000,Mercedes,E400,2001,N,35750,8765,0
65,27,9/29/01,IN,100/300,1000,1164.97,0,FEMALE,College,adm-clerical,exercise,wife,1/17/15,Single Vehicle Collision,Front Collision,3,Ambulance,WV,Arlington,7135 Flute Lane,17,1,?,1,2,YES,42840,3570,7140,32130,Chevrolet,Silverado,2004,N,42840,4858,0
222,39,1/10/12,IL,250/500,1000,1232.72,0,MALE,High School,armed-forces,hiking,own-child,2/9/15,Multi-vehicle Collision,Front Collision,2,Fire,SC,Springfield,4414 Solo Drive,21,3,?,1,0,NO,87960,14660,14660,58640,Jeep,Wrangler,1999,Y,87960,1126,1
196,41,7/5/01,IL,250/500,2000,1800.76,0,MALE,JD,protective-serv,camping,other-relative,1/14/15,Multi-vehicle Collision,Rear Collision,1,Ambulance,SC,Hillsdale,2920 5th Ave,0,3,NO,1,0,NO,47800,4780,4780,38240,Jeep,Grand Cherokee,2009,N,47800,4941,0
253,43,8/7/91,IL,500/1000,500,1187.01,7000000,FEMALE,Associate,tech-support,exercise,unmarried,2/2/15,Vehicle Theft,?,0,Police,NY,Northbrook,2986 MLK Drive,9,1,NO,0,1,?,3840,640,640,2560,Chevrolet,Tahoe,2014,N,3840,8580,0
280,43,7/24/12,IN,100/300,1000,1559.34,0,MALE,JD,transport-moving,hiking,own-child,2/17/15,Single Vehicle Collision,Front Collision,3,Fire,NY,Riverwood,1580 Maple Lane,1,1,NO,0,2,?,77000,14000,7000,56000,Accura,RSX,2004,N,77000,938,1
5,26,7/27/14,IL,250/500,2000,1137.02,0,FEMALE,PhD,farming-fishing,skydiving,not-in-family,1/25/15,Single Vehicle Collision,Rear Collision,3,Ambulance,WV,Springfield,3706 Texas Hwy,22,1,YES,1,3,?,88110,16020,16020,56070,Audi,A5,2003,N,88110,182,1
220,42,8/8/94,IN,100/300,1000,1281.72,0,MALE,College,farming-fishing,hiking,other-relative,2/13/15,Multi-vehicle Collision,Rear Collision,1,Fire,SC,Northbend,9109 Britain Drive,20,4,NO,0,2,YES,47740,4340,4340,39060,Honda,Civic,2005,N,47740,7494,0
85,30,12/9/01,OH,100/300,1000,796.35,0,FEMALE,MD,craft-repair,video-games,own-child,2/20/15,Multi-vehicle Collision,Rear Collision,3,Fire,SC,Northbend,2290 4th Ave,9,3,YES,2,1,YES,58960,5360,10720,42880,Ford,F150,2004,N,58960,4821,1
266,46,3/14/90,OH,250/500,500,1270.02,0,FEMALE,Associate,tech-support,skydiving,own-child,1/8/15,Parked Car,?,1,Police,NC,Northbrook,4232 Britain Ridge,5,1,NO,1,2,?,2160,480,240,1440,Toyota,Corolla,2004,N,2160,9066,0
41,26,3/28/06,IL,100/300,1000,1383.13,0,FEMALE,JD,prof-specialty,exercise,own-child,2/28/15,Vehicle Theft,?,0,Police,SC,Riverwood,6677 Andromedia Drive,12,1,YES,1,1,?,6890,530,1060,5300,Jeep,Grand Cherokee,1997,N,6890,3259,0
316,45,12/23/13,IL,100/300,2000,1290.74,5000000,FEMALE,High School,prof-specialty,kayaking,husband,2/12/15,Multi-vehicle Collision,Side Collision,2,Ambulance,VA,Springfield,5868 Sky Hwy,6,3,NO,2,0,YES,78870,7170,14340,57360,Suburu,Legacy,2013,N,78870,416,1
285,47,9/30/91,IN,100/300,1000,1216.68,0,FEMALE,Masters,sales,basketball,other-relative,1/6/15,Vehicle Theft,?,0,Police,SC,Columbus,3053 Lincoln Drive,8,1,NO,1,1,NO,2700,300,300,2100,Ford,F150,2013,N,2700,8499,0
379,54,12/27/01,IL,100/300,500,1251.16,0,FEMALE,Associate,machine-op-inspct,kayaking,not-in-family,2/15/15,Single Vehicle Collision,Front Collision,3,Ambulance,WV,Riverwood,7041 Tree Ridge,14,1,?,0,1,NO,75960,6330,6330,63300,Jeep,Grand Cherokee,2010,N,75960,4798,1
15,34,4/7/05,IN,250/500,2000,1586.41,0,FEMALE,High School,sales,video-games,other-relative,1/20/15,Single Vehicle Collision,Front Collision,2,Police,WV,Northbrook,7223 Embaracadero St,10,1,YES,1,3,?,75570,6870,13740,54960,BMW,X5,2010,Y,75570,3575,1
354,48,4/8/03,IL,500/1000,2000,1526.11,5000000,FEMALE,Masters,sales,exercise,unmarried,1/3/15,Single Vehicle Collision,Front Collision,1,Police,SC,Columbus,8081 Flute Ridge,12,1,?,2,3,YES,88400.65,15040,15040,60160,Chevrolet,Malibu,1995,N,90240,4288,1
342,53,11/14/05,IN,100/300,1000,1028.44,0,FEMALE,College,prof-specialty,dancing,not-in-family,1/26/15,Single Vehicle Collision,Front Collision,2,Ambulance,SC,Springfield,8618 Texas Lane,12,1,?,0,0,NO,80960,14720,7360,58880,Accura,MDX,2000,N,80960,3360,1
169,38,1/7/05,IL,100/300,1000,1555.94,0,MALE,PhD,craft-repair,skydiving,own-child,1/25/15,Multi-vehicle Collision,Front Collision,3,Other,VA,Riverwood,3508 Washington St,12,3,NO,1,3,YES,79080,6590,13180,59310,Mercedes,C300,2012,N,79080,3670,1
339,49,2/14/94,IN,500/1000,2000,1570.77,0,MALE,JD,adm-clerical,paintball,not-in-family,1/18/15,Vehicle Theft,?,1,Unknown,SC,Columbus,2193 4th Ridge,13,1,NO,0,3,NO,6820,1240,620,4960,Mercedes,ML350,2009,N,6820,7643,0
259,42,1/23/96,OH,100/300,2000,1170.53,0,FEMALE,PhD,armed-forces,sleeping,wife,1/12/15,Multi-vehicle Collision,Rear Collision,3,Fire,WV,Northbend,8897 Sky St,17,3,NO,1,2,YES,62590,5690,11380,45520,Nissan,Pathfinder,2006,N,62590,6929,1
65,23,12/12/99,OH,250/500,1000,1099.95,0,FEMALE,College,sales,dancing,wife,1/15/15,Single Vehicle Collision,Side Collision,2,Other,NY,Arlington,9611 Pine Ridge,14,1,NO,1,0,YES,52400,6550,6550,39300,Accura,MDX,2005,Y,52400,5513,0
254,46,7/15/04,IL,250/500,2000,1472.43,0,MALE,MD,tech-support,basketball,husband,1/10/15,Multi-vehicle Collision,Front Collision,2,Ambulance,WV,Arlington,7825 1st Ridge,3,3,?,1,3,YES,63580,5780,11560,46240,Volkswagen,Jetta,2004,N,63580,3831,1
440,55,11/7/12,IL,250/500,500,1275.62,0,FEMALE,Associate,priv-house-serv,reading,other-relative,1/23/15,Multi-vehicle Collision,Side Collision,1,Police,NY,Riverwood,3039 Oak Hwy,18,3,YES,2,1,NO,61400,6140,6140,49120,Nissan,Ultima,1995,N,61400,807,1
478,63,6/29/09,IL,250/500,1000,1292.3,0,MALE,High School,adm-clerical,paintball,own-child,2/21/15,Parked Car,?,1,Unknown,VA,Northbend,8204 Pine Lane,5,1,YES,1,3,NO,4700,940,470,3290,Dodge,Neon,2007,Y,4700,2063,0
230,44,6/26/00,IN,250/500,2000,1009.37,0,FEMALE,College,prof-specialty,hiking,other-relative,2/17/15,Single Vehicle Collision,Front Collision,3,Fire,SC,Riverwood,9787 Andromedia Ave,19,1,NO,0,2,YES,74140,13480,13480,47180,BMW,X5,2015,N,74140,5349,1
138,30,1/9/02,OH,500/1000,500,1093.07,4000000,FEMALE,PhD,other-service,reading,wife,1/6/15,Single Vehicle Collision,Front Collision,2,Other,VA,Hillsdale,9633 Rock Hwy,0,1,?,2,2,NO,83160,6930,13860,62370,Volkswagen,Jetta,2011,N,83160,4745,1
239,41,11/11/13,OH,250/500,1000,1325.44,7000000,FEMALE,JD,farming-fishing,paintball,other-relative,2/18/15,Parked Car,?,0,Police,NC,Arlington,6303 1st Drive,22,1,?,0,2,YES,10790,1660,830,8300,Mercedes,E400,2013,N,10790,464,0
93,31,1/14/08,IL,100/300,2000,1017.18,0,FEMALE,MD,prof-specialty,paintball,husband,2/17/15,Multi-vehicle Collision,Rear Collision,2,Police,NC,Arlington,2014 Rock Ave,21,3,YES,1,3,NO,48070,8740,8740,30590,Saab,92x,2014,N,48070,2591,0
37,25,3/4/03,OH,100/300,1000,1221.17,0,FEMALE,Masters,protective-serv,golf,not-in-family,1/24/15,Multi-vehicle Collision,Rear Collision,1,Ambulance,SC,Northbrook,8983 Tree St,4,3,YES,0,0,YES,51030,5670,11340,34020,Suburu,Impreza,1996,N,51030,4344,0
254,40,6/7/94,IN,100/300,500,1927.87,0,MALE,MD,prof-specialty,yachting,husband,1/21/15,Single Vehicle Collision,Front Collision,1,Fire,VA,Arlington,6260 5th Lane,10,1,YES,0,1,?,43280,0,5410,37870,Honda,Civic,1996,Y,43280,7533,0
131,29,7/4/13,IN,250/500,1000,978.27,0,FEMALE,Associate,sales,paintball,own-child,2/3/15,Single Vehicle Collision,Front Collision,2,Fire,SC,Hillsdale,2725 Britain Ridge,5,1,?,1,3,NO,76400,15280,7640,53480,Suburu,Forrestor,2003,N,76400,579,1
230,43,6/30/02,IN,100/300,2000,1221.14,0,MALE,MD,prof-specialty,board-games,wife,1/7/15,Single Vehicle Collision,Side Collision,3,Ambulance,VA,Hillsdale,3089 Oak Ridge,13,1,?,0,2,?,75460,13720,13720,48020,Audi,A5,2002,N,75460,4574,1
313,50,6/30/04,OH,100/300,2000,1255.62,0,MALE,MD,armed-forces,polo,unmarried,2/2/15,Multi-vehicle Collision,Side Collision,2,Other,OH,Northbrook,6206 3rd Ridge,18,3,YES,2,1,YES,69000,13800,6900,48300,Ford,F150,1995,Y,69000,3869,1
210,38,12/19/98,IN,250/500,500,999.52,0,MALE,JD,tech-support,golf,other-relative,1/13/15,Vehicle Theft,?,1,Police,VA,Springfield,7240 5th Ridge,6,1,?,1,2,NO,8640,1440,720,6480,Accura,TL,2008,N,8640,5869,0
101,29,8/31/14,OH,250/500,500,1380.89,0,MALE,PhD,armed-forces,dancing,own-child,2/28/15,Multi-vehicle Collision,Rear Collision,1,Ambulance,SC,Arlington,8100 3rd Ave,0,3,?,2,1,?,67210,12220,12220,42770,BMW,X6,1996,N,67210,181,1
153,37,11/10/05,IN,500/1000,500,1010.77,0,MALE,High School,transport-moving,basketball,unmarried,1/16/15,Multi-vehicle Collision,Side Collision,3,Ambulance,NC,Arlington,3282 4th Lane,5,3,?,0,3,NO,42500,4250,4250,34000,Volkswagen,Jetta,1999,N,42500,3354,0
337,53,5/4/00,OH,100/300,500,1205.86,0,MALE,Associate,armed-forces,basketball,wife,2/1/15,Single Vehicle Collision,Rear Collision,1,Fire,SC,Arlington,3227 Maple Ave,8,1,YES,0,1,NO,86400,14400,7200,64800,Accura,RSX,2001,N,86400,5386,1
360,51,11/26/01,IL,500/1000,1000,1526.61,0,MALE,Masters,handlers-cleaners,chess,not-in-family,1/30/15,Vehicle Theft,?,1,Police,SC,Hillsdale,4264 Lincoln Ridge,5,1,YES,2,2,?,4620,840,840,2940,Dodge,RAM,2009,Y,4620,4813,0
428,53,5/6/14,IL,100/300,1000,1496.44,0,FEMALE,High School,tech-support,camping,unmarried,2/16/15,Parked Car,?,0,Police,NC,Springfield,2215 Best Ave,9,1,YES,2,2,NO,6930,630,1260,5040,Honda,CRV,2013,N,6930,286,0
204,40,1/27/91,IL,100/300,500,1256.2,0,FEMALE,JD,sales,hiking,not-in-family,1/7/15,Multi-vehicle Collision,Side Collision,1,Other,SC,Northbend,5363 Weaver Lane,10,3,YES,1,2,YES,41700,8340,8340,25020,Saab,95,2013,N,41700,8746,0
364,51,4/28/92,IL,100/300,500,1268.35,0,MALE,Masters,transport-moving,board-games,wife,1/10/15,Single Vehicle Collision,Rear Collision,2,Other,NY,Northbrook,2397 Cherokee Ave,16,1,YES,2,1,NO,77330,14060,14060,49210,Volkswagen,Jetta,2014,Y,77330,8292,1
185,35,3/4/00,IN,500/1000,2000,1421.59,0,MALE,College,other-service,sleeping,own-child,1/31/15,Vehicle Theft,?,0,Police,WV,Arlington,9794 Embaracadero St,8,1,?,2,3,YES,4950,900,450,3600,Ford,F150,2011,N,4950,5446,0
63,26,10/12/95,IL,500/1000,500,1500.04,6000000,MALE,PhD,craft-repair,polo,own-child,2/13/15,Vehicle Theft,?,1,Police,NC,Northbrook,1810 Elm Hwy,5,1,NO,0,2,YES,5160,860,860,3440,Accura,TL,2004,N,5160,7064,0
210,35,4/25/14,IL,100/300,500,1433.24,0,FEMALE,College,exec-managerial,yachting,not-in-family,2/22/15,Multi-vehicle Collision,Side Collision,3,Fire,WV,Riverwood,9603 Texas Lane,11,3,NO,2,1,?,24570,2730,2730,19110,Saab,95,2006,Y,24570,303,0
194,38,1/26/11,IN,100/300,2000,1231.25,0,FEMALE,PhD,craft-repair,movies,not-in-family,1/8/15,Multi-vehicle Collision,Rear Collision,1,Ambulance,WV,Arlington,5650 Sky Drive,15,3,?,1,0,?,53680,4880,9760,39040,Toyota,Camry,2011,N,53680,1443,0
294,49,1/26/96,IN,500/1000,500,1135.43,0,MALE,Masters,farming-fishing,bungie-jumping,own-child,2/4/15,Multi-vehicle Collision,Side Collision,3,Police,WV,Columbus,9633 MLK Lane,23,3,YES,1,1,YES,42900,3900,3900,35100,Chevrolet,Malibu,2010,N,42900,6949,0
272,41,4/8/91,OH,250/500,2000,945.73,5000000,MALE,MD,protective-serv,chess,wife,2/4/15,Single Vehicle Collision,Front Collision,1,Fire,NY,Arlington,4981 Flute Hwy,23,1,NO,0,0,NO,84100,16820,8410,58870,Ford,Escape,2009,Y,84100,8703,1
27,27,6/29/02,IN,100/300,2000,1118.76,0,FEMALE,College,adm-clerical,dancing,own-child,2/26/15,Single Vehicle Collision,Front Collision,3,Fire,NY,Northbrook,9078 Francis Ridge,23,1,?,1,3,?,61560,6840,6840,47880,Ford,Fusion,2008,N,61560,4625,1
251,39,4/9/99,IN,500/1000,2000,1231.98,0,FEMALE,Associate,other-service,hiking,not-in-family,1/8/15,Single Vehicle Collision,Rear Collision,1,Police,NY,Hillsdale,1381 Francis Ave,10,1,YES,0,0,?,44240,5530,5530,33180,Dodge,RAM,1997,N,44240,5753,0
180,33,4/19/09,IN,500/1000,2000,1005.47,0,FEMALE,JD,protective-serv,hiking,own-child,2/15/15,Multi-vehicle Collision,Rear Collision,1,Ambulance,VA,Columbus,6435 Texas Ave,12,4,?,2,3,YES,57700,11540,5770,40390,Jeep,Grand Cherokee,2002,N,57700,2128,0
392,50,8/22/91,OH,100/300,2000,1108.97,0,FEMALE,PhD,exec-managerial,exercise,not-in-family,1/14/15,Single Vehicle Collision,Side Collision,1,Other,WV,Springfield,1248 MLK Ridge,4,1,NO,2,2,YES,88400.65,16620,16620,74790,Saab,92x,2002,N,108030,8546,1
143,30,11/28/91,IN,100/300,500,1392.39,5000000,FEMALE,High School,exec-managerial,dancing,unmarried,1/12/15,Single Vehicle Collision,Rear Collision,1,Fire,SC,Riverwood,3323 1st Lane,16,1,NO,2,0,YES,54300,10860,5430,38010,Toyota,Highlander,2010,N,54300,8446,0
371,54,4/27/12,IN,100/300,2000,1317.97,0,MALE,High School,craft-repair,movies,wife,1/18/15,Multi-vehicle Collision,Front Collision,2,Ambulance,SC,Columbus,6971 Best Ridge,18,3,?,1,2,?,32280,5380,5380,21520,Ford,Fusion,2010,Y,32280,996,0
292,42,3/4/07,IN,250/500,1000,1588.22,0,MALE,JD,machine-op-inspct,camping,other-relative,1/15/15,Multi-vehicle Collision,Rear Collision,3,Other,WV,Riverwood,7488 Lincoln Lane,15,3,YES,1,1,NO,84600,16920,8460,59220,Chevrolet,Malibu,2007,N,84600,2874,1
165,35,12/31/12,IL,250/500,500,900.02,6000000,MALE,College,craft-repair,camping,own-child,2/24/15,Single Vehicle Collision,Front Collision,3,Other,SC,Springfield,9007 Francis Hwy,8,1,NO,1,3,YES,69700,6970,6970,55760,BMW,3 Series,2008,N,69700,785,1
158,33,12/21/13,OH,100/300,1000,1744.64,3000000,MALE,JD,prof-specialty,movies,unmarried,2/7/15,Multi-vehicle Collision,Rear Collision,3,Ambulance,WV,Springfield,1491 Francis Ridge,4,3,NO,0,1,NO,36400,3640,7280,25480,Volkswagen,Jetta,1998,N,36400,413,0
241,39,4/28/05,OH,250/500,1000,1260.56,0,FEMALE,JD,adm-clerical,paintball,own-child,2/22/15,Multi-vehicle Collision,Side Collision,1,Police,SC,Northbrook,3659 Oak Lane,20,3,NO,0,2,YES,37520,4690,4690,28140,Jeep,Wrangler,2010,N,37520,3587,0
